match_id,match_name,sport,competition,datetime,market,selection,odds,bookmaker
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,fremad amager,1.82,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,x,3.70,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,naestved,3.75,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,1x,1.25,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,x2,1.82,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,mecz,12,1.26,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,zakład bez remisu,fremad amager,1.40,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,zakład bez remisu,naestved,2.70,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,- 0.5,9.90,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,+ 0.5,1.04,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,- 1.5,3.30,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,+ 1.5,1.28,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,- 2.5,1.85,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,+ 2.5,1.85,STS
FRNA06061900,Fremad Amager - Naestved,Piłka Nożna,Dania,2025-06-06T19:00:00,liczba goli,- 3.5,1.32,STS
